## Microarray analysis of entry into quiescence (normalised data),,,,,,,,,,,,,,,,
## T: time after Nitrogen removal,,,,,,,,,,,,,,,,
## Expression ratio are normalised to time point zero and corrected for total RNA amount per cell ,,,,,,,,,,,,,,,,
Systematic.name,T0,T0.5,T1,T2,T3,T4,T6,T9,T12,T16,T20,T24,T48,T72,T96,T168
SPAC57A7.13,1,0.71408165,0.7462381,0.6248838,0.5953686,0.3444814,0.3844522,0.3536431,0.2971711,0.28344777,0.2916826,0.29834905,0.3329813,0.30997482,0.27186948,0.25501212
SPAC57A7.12,1,0.24702258,0.20433289,0.12150055,0.14347306,0.08239851,0.08912097,0.071993716,0.061891012,0.052000176,NA,0.05827445,0.053189024,0.054162864,0.046622306,0.040152974
SPBC3E7.05c,1,1.4851853,0.94276905,0.64956117,0.46178964,0.3501474,0.25036752,NA,0.1581558,0.18386887,NA,0.16116892,0.11942642,0.12098209,0.11297651,0.07186755
SPAC19G12.06c,0.99999994,0.9459487,1.8852686,0.7584972,0.6260622,0.42377385,0.22327326,0.1865322,0.1460675,0.109319165,0.14432395,0.12057434,0.09184314,0.10103215,0.07890925,0.08224759
SPAC57A7.11,0.99999994,0.80671674,0.82669604,0.65014786,0.5438086,0.3066074,0.30734885,NA,0.22407149,0.19574665,0.21995978,0.19614078,0.15054256,0.1753542,0.14580643,0.14260407
SPBC21C3.17c,1,0.7786547,0.70129263,0.3016376,NA,0.16785473,0.15624149,0.14548491,0.13970907,0.117906265,0.1564169,0.12328562,0.083216965,NA,0.040882334,0.10161466
SPAC57A7.09,1,2.7999394,2.4297132,1.5184139,0.96256804,0.674042,0.55703264,0.5598643,0.5087673,0.4425222,0.6372014,0.5051687,0.4256292,0.40139884,0.31406787,0.28313518
SPCC830.05c,1,1.1667248,1.0177906,0.781351,0.5649883,0.34691668,0.34813327,NA,0.25391212,0.2124179,0.24929337,0.20469166,0.18411447,0.15036911,0.17281905,0.1486539
SPAC1851.03,1,0.5355961,0.43477267,0.38769996,0.2802326,0.1986132,0.17240171,0.14116126,0.12467715,0.118941985,0.13919513,0.13502115,0.124778494,0.10392312,0.08782027,0.07291083
SPAC1851.02,1,0.8450996,0.5701737,0.41821617,0.39692697,0.23317796,0.23280793,0.19363914,0.16189808,0.14396444,0.15853201,0.16740139,0.16092859,0.15496507,0.14733629,0.12360673
SPBC19F8.04c,1,1.0761362,0.77090347,0.48052573,0.39135495,0.26437426,0.22933589,0.18318704,0.14371085,0.12116689,NA,0.11083478,0.09861528,0.09703171,0.09159881,0.053495176
SPBC3E7.02c,1,1.4983463,0.42237002,0.46493074,0.5276248,0.30894226,0.36844394,NA,0.3065651,0.5216835,0.594529,0.6660775,0.87761766,0.92448044,0.81968725,0.31996164
SPCC830.08c,1,1.5765667,1.3159777,1.200344,0.59633267,0.39785329,0.29034463,0.23250942,0.20960167,0.24688481,0.24282579,0.22736228,0.14540164,0.13740967,0.11928061,0.071045436
SPAC4H3.09,1,0.80295986,0.9131361,0.57907367,0.32547092,0.21300286,0.18586665,0.18394205,0.12698865,0.12476157,0.12582448,0.1474903,0.18291312,0.1447474,0.12823024,0.13742973
SPAC17G6.14c,0.99999994,0.7166631,0.544043,0.2643598,0.21041621,0.11998492,0.08504508,0.05721123,0.0478395,0.032145876,0.041792292,0.039636865,0.040804636,0.039862163,0.030049592,0.0268237
SPAC4H3.08,1,0.5672443,1.5833485,2.8204253,NA,0.34281814,0.29555216,0.19274813,0.16054657,NA,NA,0.115245484,0.07035704,NA,0.12105771,0.108875625
SPAC4H3.06,0.99999994,0.5869261,0.35265568,NA,0.26997283,0.16132957,NA,NA,0.09865477,NA,NA,NA,NA,NA,NA,NA
SPAC4H3.05,1,0.58472604,0.5461811,0.3426957,0.3570781,0.25866073,0.25251886,0.2201714,0.15035559,NA,0.14069518,0.17150089,0.15716776,NA,NA,NA
